bit_depth,max_value,best_val_pcc,test_pcc,test_ssim,test_mse,train_time_sec,train_time_str,avg_epoch_time_sec,avg_epoch_time_str,num_epochs_completed,peak_memory_mb
3,7,0.87890729367733,0.0,nan,nan,1531.6661352291703,00:25:31.67,41.39626626081362,00:00:41.40,37,5479.31787109375
4,15,0.8875034986436368,0.8803867870569229,0.57303291618824,0.017720254147425295,1702.9584447704256,00:28:22.96,41.53546213642581,00:00:41.54,41,5476.25537109375
5,31,0.8912496083974838,0.8860037085413933,0.5939720368385315,0.01663660158170387,1893.354290176183,00:31:33.35,42.07444120761421,00:00:42.07,45,5476.25537109375
6,63,0.8916293445229531,0.8857143846154213,0.5967632228136063,0.01650715681957081,1847.1672061868012,00:30:47.17,41.98096321997318,00:00:41.98,44,5476.25537109375
7,127,0.8927596764266491,0.8882464689016342,0.602572138607502,0.016833822259213774,1720.0911849271506,00:28:40.09,41.95333212116597,00:00:41.95,41,5476.25537109375
8,255,0.8920387130975723,0.8848516815900802,0.5994792014360428,0.017029763527680188,1677.038780996576,00:27:57.04,41.9258474369999,00:00:41.93,40,5476.25537109375
